year,verbatim_reasons
2019,VARIOUS TRAIN LINES ARE WELL CONNECTED AND EASY TO TRAVEL IN
2019,STREET DIRECTORIES IS PROVIDED AT THEIR STATIONS TO LET ME PLAN MY ROUTE AROUND THAT AREA
2019,DRIVER HAD DONE A GOOD JOB IN MAINTAINING THE CAR CLEAN AND TIDY
2019,CABINS ARE CLEAN AND MAINTAINED IN GOOD CONDITION
2019,
2019,
2019,"THE GRABSHARE IS REALLY VERY CHEAP THE FARE, AND I DO USE THAT SERVICE WHEN I AM TRAVELLING ALONE"
2019,
2019,
2019,"THEY PROVIDE CONCESSION CARD FOR ME AND WITH IT, I CAN ENJOY CHEAPER FARE"
2019,SAFE AND CAREFUL DRIVER THAT DRIVES SAFELY AND NOT RECKLESSLY
2019,THERE WAS A COUPLE BEHAVING INAPPROPRIATELY IN THE CABIN AND THIS CAUSED DISCOMFORT TO MANY PASSENGERS
2019,
2019,DRIVERS ARE VERY COURTEOUS AND POLITE THEY'LL GREET PASSENGERS WHEN WE BOARD THE CAR
2019,THEY OPERATION LONG HOURS THAT ALLOW ME TO TAKE THE TRAIN VERY EARLY IN THE MORNING TILL ALMOST MIDNIGHT
2019,TRAIN ARRIVES PUNCTUALLY BASED ON TIME SHOWN ON THE BOARD
2019,THE TAXI FARE IS CLEARLY SHOWN ON THE METER TO PREVENT ANY DISCREPANCIES
2019,
2019,"TRAIN IS SMALL AND CRAMPED COMPARED TO MRT, NOT COMFORTABLE TO TRAVEL IN"
2019,DRIVER WAS PATIENT TO WAIT FOR MY FRIEND TO COME DOWN
2019,FRIENDLY AND HELPFUL DRIVERS GREETED ME WHEN I BOARD THE CAR
2019,TRAVEL SPEED IS FAST WHEN TAKING THE TRAIN COMPARING TO TAKING BUS
2019,
2019,"WHEN I BOARDED THE TAXI, THE DRIVER GREETED ME AND ASK IF I HAVE ANY PREFERRED ROUTE TO MY LOCATION, HE IS VERY PROFESSIONAL IN MY OPINION"
2019,FASTER TRAVELLING TIME SINCE ALL THE RIDES ARE UNDERGROUND
2019,EASY AND CONVENIENT TO USE THE MRT SERVICE WITH AFFORDABLE FARE
2019,MANY DRIVERS WILL START TO HIDE OR DON’T PICK UP PASSENGERS UNTIL PEAK HOURS WHERE THEY ARE ABLE TO EARN THE SURCHARGES
2019,"THE FREQUENCY OF BUSES IS VERY HIGH, HENCE THE WAITING TIME IS SHORT"
2019,
2019,DRIVER WERE HELPFUL WHEN I DID NOT KNOW WHERE TO ALIGHT
2019,
2019,"QUITE SAFE TO TRAVEL ON THEIR BUSES IN SINGAPORE, VERY SMOOTH AND FAST"
2019,"WITH MY CONCESSION CARD, I GET TO ENJOY CHEAPER FARE"
2019,DRIVER IS ABLE TO EXPLAIN TO ME THE SHORTEST ROUTE TO TAKE TO MY DESTINATION AND ASKED ME IF I'M OK WITH IT
2019,
2019,CLEAN AND VERY WELL ORGANISED STATIONS
2019,"I THINK THE TRAIN IS TOO CROWDED DURING THE RUSH HOURS, WHEN THE TRAIN ARRIVES, IT IS ALREADY VERY PACKED, AND PEOPLE ALWAYS HAVE PROBLEM BOARDING THE TRAIN"
2019,VERY PACKED TRAIN AND I FELT VERY STUFFY
2019,TIME OF ARRIVAL OF THE TRAINS ARE VERY ACCURATE
2019,
2019,"THE CABIN I WAS IN WAS FULL OF YOUNGSTERS, AND THEY ARE PRETTY ROWDY AND SMELLY"
2019,
2019,
2019,
2019,"BUS DRIVERS DRIVES SAFELY AND WILL ADHERE TO ALL THE TRAFFIC REGULATIONS, MAKING IT VERY SAFE TO TRAVEL BY BUS"
2019,"DRIVERS WILL ALWAYS FOLLOW THE TRAFFIC RULES, HENCE IT IS SAFE TO TAKE TAXI"
2019,CHEAP AND AFFORDABLE WAY TO USE THE MRT TO TRAVEL
2019,TAXI DRIVER HELPED ME TO CARRY MY HEAVY BELONGINGS ONTO THE TAXI BOOT
2019,CAR IS TRAVELING IN A SAFE SPEED AND I'M STILL ABLE TO ARRIVE IN TIME WITHOUT GETTING LATE
2019,"TRAIN STATIONS HAVE MANY FACILITIES LIKE ATM MACHINES, FOOD KIOSK AND TOILETS AROUND"
2019,DRIVERS ARE POLITE AND FRIENDLY
2018,"TRAIN STATION IS WELL SHELTERED, SO NO NEED TO BE SCARED EVEN IF IT IS RAINING"
2018,"CONVENIENT TO TRAVEL WITHIN SENGKANG AND TO PUNGGOL AS WELL. ONLY 
THING IS THAT THE TRAINS ARE A BIT SLOW."
2018,TAXI DRIVERS ARE POLITE AND FRIENDLY
2018,"TAXI DRIVER WAS NICE, THERE WAS ONCE I PUT THE WRONG LOCATION AND THE DRIVER PICKED ME UP AT THE WRONG LOCATION AND DID NOT CHARGE ME EXTRA"
2018,TAXI CAME ON TIME
2018,"DRIVERS ARE ALWAYS DRIVING SAFELY AND WILL NOT BREAK TRAFFIC REGULATIONS, A CONVENIENT WAY TO TRAVEL AROUND SINGAPORE"
2018,"PEAK HOURS MAKE IT A NIGHTMARE TO TRAVEL WHERE EVERYONE IS 
PUSHING EACH OTHER. WOULD BE BETTER IF THERE WERE MORE 
STATIONS MAYBE CAN SPREAD OUT THE CROWDS."
2018,THE TAXI FARE IS WELL STATED ON THE METRE
2018,FREQUENCY OF TRAIN BREAKDOWN IS TOO OFTEN AFFECTING US COMMUTERS
2018,
2018,"EASY TO USE, HASSLE FREE"
2018,"LARGE IMPROVEMENT WHEN THEY LINKED UP WITH THE DOWNTOWN 
LINE AT NEWTON STATION. I HAS MADE TRAVELLING MUCH MORE 
CONVENIENT."
2018,"CONVENIENT, EASY TO UNDERSTAND AND NAVIGATE MAPS WHEN TAKING THE TRAIN"
2018,ALTERNATE MRT LINE TO GET TO TOWN
2018,"DRIVER WILL GREET ME WHEN I BOARD AND WILL CHECK WITH ME ANY PARTICULAR WAY I PREFER, THIS SHOWS THAT THEY ARE VERY PROFESSIONAL IN PERFORMING THEIR JOB"
2018,"JUST ANOTHER PUBLIC TRANSPORT TO ME, THERE ARE SOME DELAYS HERE AND THERE BUT OVERALL IS STILL ACCEPTABLE TO ME"
2018,I CAN TRACK THE LOCATION OF THE RIDE SO I WILL KNOW WHEN THE DRIVER IS REACHING MY PLACE
2018,
2018,
2018,LINES ARE WELL CONNECTED AND FARES ARE REASONABLE
2018,"DURING NON-PEAK HOURS THE TRAINS ARE FINE, BUT 
DURING THE PEAK HOURS THE TRAINS ALWAYS HAVE DELAYS"
2018,"MOST OF THE BUSES ARE DOUBLE DECKER WHICH IS GREAT SO THAT MORE 
PEOPLE CAN ENTER DURING THE PEAK HOURS."
2018,CLEAN AND WELL MAINTAINED CABINS AND I CAN HAVE UNLIMITED RIDES USING MY CONCESSION CARD
2018,DRIVERS KNOW THE ROAD WELL AND ABLE TO RECOMMEND ME THE SHORTEST ROUTE TO MY DESTINATION
2018,"IT IS THE EASIEST WAY FOR ME TO GET FROM POINT TO POINT, BUT I BELIEVED AS A PUBLIC TRANSPORT SYSTEM, RELIABILITY OF THE SYSTEM IS VERY IMPORTANT AND MORE EFFORTS SHOULD MAKE IT TO HAVE LESSER BREAKDOWNS"
2018,THE BUS IS SPACIOUS AND THE SEAT IS VERY COMFORTABLE
2018,"I HARDLY TAKE CABS. I PREFER PRIVATE HIRE 
SUCH AS GRAB AS THE DRIVERS ARE ALWAYS 
MUCH MORE AMICABLE."
2018,THERE ARE CONCESSION CARDS FOR STUDENTS LIKE MYSELF THAT ALLOWS ME TO ENJOY UNLIMITED RIDES WHEN TRAVELLING ON BUSES
2018,"IT IS VERY SAFE TO TRAVEL ON A TAXI AND DRIVER USUALLY WILL USE THE SHORTEST ROUTE TO MY DESTINATION AND IF THEY ARE UNSURE, THEY WILL ASK ME WHICH WAY I PREFER"
2018,"THE TRAIN DELAYS BETWEEN STATIONS EVERY MORNING WHICH 
EXTENDS MY TRAVEL TIME. I ALWAYS HAVE TO GET THE EXCUSE LETTER 
FROM THE CONTROL STATION TO EXPLAIN WHY I AM LATE FOR WORK. 
THIS IS UNACCEPTABLE."
2018,THE FARE CHARGED FOR THEIR RIDE IS REASONABLE
2018,SEATS ARE VERY COMFORTABLE TO SIT AND RIDE IS NOT JERKY
2018,RATE OFFERED WAS BETTER THAN GRAB
2018,SEEMS LIKE THE CONGESTION PROBLEM IN PEAK HOURS HAS IMPROVED AFTER THEY INCREASE THE BUSES
2018,I GET TO TAKE UNLIMITED BUS RIDES USING MY STUDENT CONCESSIONS CARD
2018,DRIVER KNOWS HIS WAY EVEN WITHOUT THE USE OF GPS
2018,
2018,CONVENIENT AND VERY RELIABLE ARRIVAL TIMINGS PROVIDED BY THEM
2018,
2018,DRIVERS ALWAYS PICK ME UP AT THE STATED TIME PUNCTUALLY AFTER I SUCCESSFULLY BOOKED A TAXI
2018,
2018,
2018,"RIDE WAS SMOOTH, TAXI DRIVER KNEW HOW TO NAVIGATE WELL AND 
HE WAS FRIENDLY AND POLITE."
2018,TRAIN IS VERY COOLING AND COMFORTABLE TO TRAVEL IN
2018,
2018,"TAXI DRIVERS USUALLY WILL NOT DRIVE RECKLESSLY AND SPEED, THUS I FEEL SAFE TRAVELLING USING TAXI"
2018,THEIR UPDATES ON DELAY AND DISRUPTION IS SLOWER THAN SOCIAL MEDIA UPDATE WHICH DOESNâ€™T SAY WELL ABOUT THEIR COMMUNICATION EFFICIENCY
2018,
2018,
2018,"DURING THE NON PEAK HOURS THE BUS LITERALLY MOVES LIKE A SNAIL. DURING 
PEAK HOURS THE BUSES ARE FAST AND EFFICIENT."
2018,BUS CAPTAIN IS VERY FRIENDLY AND GREETED US WHEN WE BOARD THE BUS
2018,
2018,TRAIN ARRIVAL TIMING IS ALWAYS VERY ACCURATE
2018,
2018,"BETTER THAN GRAB WHEN I BOOK TAXI THE WAITING TIME IS MUCH 
SHORTER."
2018,THE WAITING TIME FOR TRAIN TO ARRIVE IS VERY FAST
2018,IT IS CONVENIENT TO TRAVEL BY THE TRAIN BUT IT SHOULD BE MORE RELIABLE
2018,FARES ARE REASONABLE AND THE SERVICE IS RELIABLE
2018,A FASTER AND MORE CONVENIENT WAY TO TRAVEL
2018,SEEMS TO HAVE LESSER TECHNICAL PROBLEMS NOWADAYS
2018,DRIVER IS REALLY CHATTY AND SHARED INTERESTING STORIES WITH ME
2018,"TRAVEL TIMES ARE OFTEN LONGER THAN STATED ON THE CHART AT THE 
PLATFORM. SO I ALWAYS PLAN TO LEAVE MY HOUSE EARLIER. OTHER 
THAN THAT IT IS OKAY."
2018,TRAINS ARE COOLING AND COMFORTABLE TO RIDE IN AND I CAN REACH MY DESTINATION SAFELY
2018,"DEPENDS ON WHICH HOUR YOU ARE TAKING, PEAK HOUR IS REALLY UNCOMFORTABLE AND SQUEEZY"
2018,THE PRICE OF THE FARE IS GETTING TOO HIGH AND DAILY USERS ARE GETTING THE IMPACT AS THEY HAVE NO CHOICE
2018,
2018,
2018,
2018,THERE ARE PLENTY OF BUS STOPS AVAILABLE IN SINGAPORE SO I CAN REACH ALMOST ANYWHERE USING BUS SERVICES
2018,I ENJOYED TALKING TO THE DRIVER THROUGHOUT THE RIDE
2018,WAITING TIME TO GET A CONFIRMED TAXI IS FASTER THAN PHONE
2018,USING THE TRAIN SERVICE ALLOWS ME TO TRAVEL AROUND SINGAPORE EASILY
2018,SEATS OF THE TAXI IS SPACIOUS AND COMFORTABLE
2018,A FAST AND CONVENIENT METHOD OF TRANSPORTATION AROUND
2018,
2018,FREQUENCY OF TRAINS IS FAST AND EFFICIENT
2018,SAFE TO TRAVEL USING BUS
2018,IT NOT CHEAP TO TAKE THE LRT EVEN IT IS A PUBLIC TRANSPORT
2018,
2018,"TAKING BUS IN SINGAPORE IS VERY EASY AND CONVENIENT, PLENTY OF BUS STOPS AVAILABLE ALL OVER SINGAPORE EVEN IN THE NEIGHBOURHOOD ESTATES"
2017,THERE ARE EATERIES AT THE STATION FOR ME TO BUY FOOD
2017,
2017,THE ESTIMATED TIME ARRIVAL IS VERY ACCURATE
2017,TRAIN SCHEDULES AND ARRIVALS CAN BE IMPROVED FURTHER TO MATCH JAPAN'S TRAIN SERVICES. PRICES ARE STILL AFFORDABLE AND CABINS ARE STILL CLEAN
2017,CONVENIENT AND EASY TO FLAG DOWN TAXI ON THE ROAD
2017,THE ARRIVAL IS FAST AND THE STAFF ARE AWARE OF ROUTES WHEN I ASKED FOR DIRECTIONS
2017,CUSTOMER SERVICE STAFF IS VERY POLITE AND EFFICIENT WHEN I CALLED IN TO BOOK THE TAXI
2017,EXPENSIVE WITHOUT CONCESSION PASSES. SERVICE IS SAFE AND RELIABLE THOUGH
2017,STUDENT PRICE FARES ARE VERY AFFORDABLE AND THE STATIONS ARE WELL SHELTERED
2017,"FARES ARE JUST AFFORDABLE, SHOULD STOP INCREASING. SERVICE IS EASY TO ACCESS"
2017,"AFFORDABLE PRICE OF FARES, SERVICE IS VERY FAST AND I ALWAYS REACH MY DESTINATIONS ON TIME"
2017,"ARRIVAL TIMES IS NOT ACCURATE SOMETIMES, BUT OVERALL THE SERVICES IS STILL FAST AND COMFORTABLE"
2017,EASY AND CONVENIENT WAY TO TRAVEL BY THE LRT
2017,"FREQUENCY IS FAST, THE STATIONS ARE CLEAN AND TIDY"
2017,I AM ABLE TO SEE THE LOCATION OF THE VEHICLE SO THAT I KNOW WHEN I SHOULD GO TO THE PICK UP POINT WHEN I SEE THE VEHICLE GETTING NEARER
2017,
2017,"TRAIN FREQUENCY IS HIGH, ONLY NEED TO WAIT A WHILE FOR THE NEXT TRAIN TO ARRIVE"
2017,
2017,THE TRAIN WILL REACH ON TIME BASED ON THE TIME SHOWN IN THE STATION
2017,THE DRIVER WAS ABLE TO REACH MY PICK UP LOCATION ACCURATELY AND ALSO VERY PUNCTUAL BASED ON THE ARRIVAL TIME SHOWN ON THE APP
2017,"POLICE PATROL ON THE TRAIN, SO THE SECURITY IS TIGHT AND SAFE TO TRAVEL USING THE TRAIN"
2017,THE DRIVER USUALLY DRIVES VERY SAFELY AND ALSO ABLE TO REACH MY DESTINATION WITHOUT NEEDING FOR ME TO SHOW THEM THE WAY
2017,MANY MAPS AND SIGNAGES AROUND THE STATIONS TO HELP ME FIND MY WAY AROUND THE STATIONS
2017,THE DRIVER ALWAYS ABLE TO PICK ME UP AND DROP ME AT MY DESTINATION ACCURATELY
2017,THE STATIONS ARE FULLY AIR-CONDITIONED AND VERY COMFORTABLE TO BE IN THERE TO WAIT FOR THEM
2017,VERY ACCESSIBLE TO TRAVEL USING BUS BECAUSE THERE ARE BUS STOPS EVERYWHERE
2017,BUS WILL SHOW WHAT IS THE UPCOMING STOP TO LET PEOPLE KNOW IF THEY ARE REACHING THEIR DESTINATIONS ALREADY
2017,THE TRAIN IS TOO CROWDED DURING PEAK HOURS AND ALSO THERE ARE MANY DELAYS AND BREAKDOWNS RECENTLY
2017,DO NOT NEED TO WAIT FOR LONG FOR ME TO BE SUCCESSFULLY BOOKED A CAR
2017,LOWER RATES AS COMPARED TO GRAB OR UBER DURING PEAK HOURS
2017,TOILETS SEEMED TO BE CLEANER IN THESE STATIONS
2017,CLEAN AND WELL MAINTAINED TRAINS WITH ORGANISED STATIONS
2017,I DON'T SEE ANY LITTERS IN THE STATION OR IN THE TRAIN. IT IS REALLY CLEAN UNLIKE BUSES.
2017,DRIVER IS POLITE AND FETCHED ME SAFELY TO THE PLACE THAT I WANT TO GO
2017,WAITING TIME IS SHORT AND INTERVALS OF TRAIN SERVICES ARE FAST
2017,EASY TO TRAVEL AND CONVENIENT TO GO FROM POINT TO POINT
2017,"GIVEN A CHOICE I WILL NOT TAKE BUSES, AS SWITCHING AND WAITING FOR BUSES IS A HASSLE, MRT IS MORE DIRECT, I CAN TAKE ALL THE WAY"
2017,BUS DRIVER WILL GREET ME WHEN I BOARD THE BUS VERY FRIENDLY
2017,MOST OF THEIR STATIONS ARE BEAUTIFULLY DESIGNED
2017,"SEEMS THAT NOW INSTEAD OF BREAKING DOWN, THERE SEEMS TO BE ANOTHER BIG PROBLEM ALSO, WHICH IS STOPPING TOO LONG AT EACH STATION, WHICH CAN TAKE UP TO FEW MINUTES AND THIS DELAY REALLY AFFECTS US BADLY"
2017,
2017,COMFORTABLE RIDE THAT ALLOWS ME TO NAP FOR A WHILE
2017,
2017,"DRIVER WAS VERY NICE, HE ROUNDED OFF MY FARE AND DID NOT CHARGE ME FOR THE REMAINING 40 CENTS"
2017,IS  EASY TO LOCATE A CAB AND THE PRICE OF THE FARE IS VERY REASONABLE
2017,COMFORTABLE AND SPACIOUS TAXI
2017,
2017,THE DRIVERS ARE KNOWLEDGEABLE WITH THE ROADS
2017,
2017,RIDE WAS FAST AND SMOOTH
2017,TAXI IS PRETTY NEW AND COMFORTABLE
2017,
2017,DRIVERS ARE WELL MANNERED AND KNOW THE ROADS WELL
2017,SEATS OF THE TAXI IS VERY COMFORTABLE AND SPACIOUS
2017,
2017,THEY OFFER HYBRID CONCESSION PASS FOR US TO ENJOY MORE DISCOUNT WHICH IS VERY GOOD
2017,
2017,"THE DRIVER KEPT MAKING SMALL TALKS WITH ME , KEPT ME ENTERTAINED AND I FEEL LIKE IT WAS A SHORT TIME ONLY AND I ALREADY REACHED MY DESTINATION"
2017,CAN SEE IMPROVEMENTS IN TERMS OF TRAIN FREQUENCY AND ARRIVAL TIME
2017,IT IS VERY EASY AND HASSLE FREE TO TRAVEL ON THE TRAIN JUST BY USING THE EZ-LINK CARD WHICH I CAN EVEN TAP WITH IT INSIDE MY WALLET
2017,ALWAYS GOT TRAIN DELAY NOWADAYS
2017,
2017,CHEAP AND AFFORDABLE TO TAKE THE BUS
2017,
2017,DRIVER DRIVES AT A VERY SAFE SPEED TO ENSURE THE TRIP IS SAFE
2017,"BUS DRIVER IS VERY FRIENDLY, GREETED US WHEN BOARD THE BUS"
2017,SMOOTH AND FAST JOURNEY
2017,FREQUENCY OF TRAIN IS FAST
2017,CAN EASILY SECURE A TAXI WITHIN MINUTES
2017,RIDE IS EASY TO BOOK AND THE ESTIMATED TIME OF ARRIVAL IS VERY ACCURATE TOO
2017,
2017,MOST OF THE STATIONS ARE VERY CONVENIENT FOR PEOPLE TO GET TO THEIR SPECIFIC LOCATION
2017,
2017,"THE APP PROVIDE ME INFO OF THE BOOKING SUCH AS NAME OF THE DRIVER, CAR PLATE NUMBER AND ALSO THE CONTACT NUMBER"
2017,
2017,"IT IS EASY TO GET HOLD OF AN RIDE AND WAITING TIME FAST, I USUALLY WAIT ABOUT 3-5 MINUTES ONLY"
2017,
2017,"IT IS REALLY CONVENIENT AND FAST TO TAKE THE TRAIN, TRAINS AND STATIONS ARE CLEAN, I ALWAYS REACH MY DESTINATION SAFELY"
2017,THERE ARE MANY DIFFERENT PAYMENT MODE THAT I CAN CHOOSE FOR MY RIDE SUCH AS CREDIT CARD OR THE GRABPAY WHICH IS VERY CONVENIENT
2017,VALUE FOR MONEY AS IT IS FAST AND CONVENIENT TO TAKE THE MRT
2017,WATCHING EACH TRAIN STOPS AND COULD NOT BOARD AS THE COMING TRAIN IS FULL OF PASSENGERS IS FRUSTRATING FOR ME
2017,I DONâ€™T NEED TO QUEUE AT THE TAXI STAND AND IT IS VERY EASY TO GET A RIDE WHENEVER I NEEDED ONE
2017,I CAN KNOW THE ESTIMATED ARRIVAL TIME IF I USE THE APP TO BOOK
2017,
2017,"AIR CON IS NOT STRONG ENOUGH, BUS IS STUFFY AND THE FREQUENCY OF THE BUS SERVICE IS NOT ENOUGH"
2017,MORE RELIABLE THAN OTHER TRANSPORT AS NOT AFFECTED BY TRAFFIC CONDITIONS
2017,TICKETING MACHINES ARE VERY USER FRIENDLY
2017,
2017,ABLE TO SAVE UP A LOT WITH THE PROMO CODE RECENTLY
2017,"THE APP PROVIDES INFORMATION SUCH AS TAXI PLATE NUMBER AND ALSO TAXI DRIVER NAME AND CONTACT NUMBER, AND WITH THE CONTACT NUMBER, I CAN CALL THE DRIVER IF THERE IS ANY QUERIES"
2017,APP LOADING SPEED IS FAST AND IT IS USER FRIENDLY
2017,IT IS EASIER AND CONVENIENT AS I AM ABLE TO REACH THE EXACT LOCATION I AM GOING TO COMPARED TO MRT
2017,
2017,VERY USER FRIENDLY APP WITH FRIENDLY DRIVERS
2017,DRIVERS ALWAYS MAKE IT IN TIME TO PICK ME UP AFTER I SUCCESSFULLY BOOKED A CAB
2017,WE CAN EASILY OBTAINED INFO PROVIDED BY THEM THROUGH WEBSITE OR MOBILE APP
2017,"DESPITE THE MASSIVE CROWD DURING PEAK HOUR, THEY HAVE STAFF TO USHER THE CROWD TO MAINTAIN A SMOOTH FLOW OF THE HUMAN TRAFFIC"
2017,THEY ALWAYS HAVE PROMO CODE FOR US TO USE TO MAKE THE RIDE EVEN CHEAPER
2017,I SEE THE TRAIN LIKE SPOIL VERY EASILY RECENTLY
2017,IT IS WELL CONNECTED TO MANY MALLS THAT ALLOW ME TO BUY THE THINGS THAT I NEED EASILY
2017,CAN EASILY BOOK A CAB WITHIN MINUTES
2017,EASY TO USE AND VERY HASSLE FREE TO BOOK A TAXI
2017,
2017,"APP IS REALLY EASY TO USE, IT TAKE ME ABOUT A MINUTE TO BOOK A RIDE"
2017,TRAINS ARE VERY CLEAN AND WELL MAINTAINED
2017,"MOST OF THE BUS DRIVERS ARE VERY CONSIDERATE, WHENEVER THEY SEE ME RUNNING TO CATCH UP, THEY MAKE THE EFFORT TO STOP AND WAIT FOR ME, SOME EVEN STOP WHEN THEY ARE STARTING TO DRIVE OFF ALREADY"
2017,"THE TRAIN ARE PUNCTUAL, SEATS ARE COMFORTABLE AND EASY TO FIND DURING NON PEAK HOURS, DURING PEAK HOURS, IT IS VERY PACK BUT INTERVAL OF THE MRT IS MUCH SHORTER"
2017,QUICK IN REACHING DESTINATION AND IT IS AFFORDABLE
2017,THEIR APP IS FAST AND RESPONSIVE
2017,
2017,DRIVERS DRIVE VERY SAFELY AND THEY'RE FRIENDLY
2017,I FIND THE APP TO BE VERY USER FRIENDLY
2017,"MOST OF THE TIME, I FIND THEIR CHARGES TO BE MUCH CHEAPER"
2017,"DETAILS OF DRIVERS ARE SHOWN CLEARLY IN THE APP, SO I FEEL SAFE USING THEIR SERVICE"
2017,
2017,"APP IS EASY TO USE, NOT CONFUSING"
2017,I CAN GET ALMOST ANYWHERE I WANT TO BE QUICKLY WITHOUT WORRYING ABOUT THE TRAFFIC ON THE WAY
2017,"USED TO BOOK THROUGH HOTLINE, BUT ALWAYS HAVE PROBLEM REMEMBERING THE DESIGNATED CAR NUMBER, WITH THE APP, EASIER TO SEE"
2017,"ACTUALLY MRT IS QUITE GENEROUS IN TERMS OF IF WE NEED TO PICK UP SOMETHING FROM SOMEONE, I USUALLY LIKE TO USE MRT, FOR E.G. FROM TAMPINES TO BUGIS BACK TO TAMPINES IN THE SAME TRIP, I WILL ONLY BE CHARGED AS ONLY 1 STATION TRAVELLED"
2017,"EASIER TO BOOK A CAR FROM THEM EVEN DURING PEAK HOURS, THEY ARE MOST EASILY AVAILABLE"
2017,CAR IS SAFE AND SMOOTH THROUGHOUT
2017,ABLE TO GET A CAB WITHIN FEW MINUTES
2017,
2017,"NOT ENOUGH TRAIN DURING THE PEAK HOURS, HAVE TO WAIT QUITE LONG TO BE ABLE TO BOARD THE TRAIN"
2017,BUS IS SPACIOUS AND SEATS ARE VERY COMFORTABLE TO SEAT AT
2017,"I LIKE THE ROUTE INFORMATION ON EACH BUS STOP THAT ALLOWS ME TO CALCULATE HOW MANY BUS STOPS I NEED TO TRAVEL BEFORE I REACH MY DESTINATION, WHICH ALLOWS ME TO PLAN MY TIMING MORE ACCURATELY"
2017,"THOUGH IT IS EASY TO USE, IT LACKS OF ONGOING PROMOTIONS OR LOYALTY PROGRAM"
2017,
2017,THE DRIVERS DRIVE SAFELY AND MOST OF THEM WILL GREET ME UPON BOARDING THE CAR
2017,BUS RIDE WAS EXCEPTIONALLY SMOOTH AS THERE ARE VERY FEW PEOPLE BOARDING OR ALIGHTING THE BUS
2017,"BUSES ARE PACKED, IT IS NOT EASY TO ALIGHT FROM THE BUS WHEN I REACH MY BUS STOP"
2017,
2017,THEY'RE COMING OUT WITH MORE STATIONS ALL OVER SINGAPORE EVERY YEAR WHICH IS VERY CONVENIENT FOR US WHO TAKES PUBLIC TRANSPORT VERY OFTEN
2017,
2017,"IT IS THE ONLY LINE THAT CATERS TO PUNGGOL AREAS, AND I PREFER TAKING MRT RATHER THAN BUSES AS IT IS MUCH FASTER. SAVES TIME!"
2017,
2017,LRT FARES ARE VERY CHEAP AND AFFORDABLE
2017,
2017,
2017,VERY FAST TRAIN SERVICE
2017,"IT IS WELL CONNECTED TO OTHER PARTS OF THE TOWN, HENCE VERY CONVENIENT"
2017,I HAD MOTION SICKNESS WHENEVER I TAKE BUSES. BUT LRT IS LESS JERKY AND MUCH MORE COMFORTABLE FOR ME .
